Market,Inventory (MW),Y-o-Y Change (MW),,Available MW,Vacancy Rate,Y-o-Y Change* (bps),,H1 2025 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Northern Virginia ,"3,480.1",,869.0,25.4,0.7%,,-80,538.6,,430.5,$190-$235
Atlanta,"1,279.4",,969.4,24.2,1.9%,,-690,280.5,,266.7,$160-$180
Dallas-Ft. Worth,869.5,,278.5,20.5,2.4%,,-200,278.9,,237.6,$140-$175
Chicago,691.7,,102.1,16.4,2.4%,,50,55.0,,24.5,$185-$215
Phoenix,684.8,,174.0,10.5,1.5%,,-180,83.0,,-65.1,$170-$210
Silicon Valley,484.4,,25.2,21.6,4.5%,,-190,20.9,,-12.4,$175-$275
"Hillsboro, OR",475.4,,48.0,1.0,0.2%,,13,48.4,,-122.8,$150-$155
New York Tri-State ,190.0,,0,13.4,7.1%,,60,-1.1,,-1.1,$180-$225
