Market,Inventory (MW),Y-o-Y Change (MW),,Available MW,Vacancy Rate,Y-o-Y Change* (bps),,H1 2026 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Northern Virginia ,"4,496.5",,"1,016.4",10.8,0.2%,,-46 ,467.6,,-71.0 ,$190-$235
Atlanta,"1,803.2",,523.8,29.5,1.6%,,-26 ,343.0,,62.5 ,$185-$200
Dallas-Ft. Worth,"1,432.8",,563.3,39.6,2.8%,,36 ,352.0,,73.1 ,$160-$185
Phoenix,"1,069.2",,384.4,12.1,1.1%,,-37 ,260.4,,177.4 ,$175-$215
Chicago,910.6,,218.9,20.0,2.2%,,-20 ,-3.3,,-58.3 ,$195-$225
Silicon Valley,509.2,,33.8,21.2,4.2%,,-34 ,22.0,,1.1 ,$200-$275
"Hillsboro, OR",491.4,,7.0,1.1,0.2%,,1 ,15.9,,-32.5 ,$185-$225
New York Tri-State ,190.0,,0.0,13.7,7.2%,,74 ,-1.4,,-1.4 ,$190-$235
