Market,Inventory (MW),Y-o-Y Change (MW),,Available MW/Vacancy Rate,Y-o-Y Change* (bps),,H1 2023 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Central Washington,176.4,,30.4,5.4 / 3.0%,,-500,5.9,,1.6,$115-$130
"Austin/
San Antonio",162.2,,8.6,2.8 / 1.7%,,40,6.7,,1.8,$135-$150
"Southern
  California",148.9,,9.8,26.6 / 17.9%,,-100,3.2,,-4.7,$135-$160 
Seattle,137.9,,2.2,13.9 / 10.1%,,-500,5.7,,1.7,$120-$150
Houston,134.1,,0.6,32.2 / 24.0%,,-440,13.5,,13.5,$125-$145
Denver,88.6,,2.3,15.4 / 17.4%,,-80,5.3,,4.3,$135-$145
Minneapolis,59.6,,1.0,14.7 / 24.7%,,-20,-3.2,,-5.1,$115-$170
"Charlotte/
Raleigh",52.1,,6.4,11.2 / 21.6%,,210,1.2,,-0.4,$115-$130
