Market,Inventory (MW),Y-o-Y Change (MW),,Available MW/Vacancy Rate,Y-o-Y Change* (bps),,H1 2023 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Northern Virginia,"2,254.1",,346.0,21.3 / 0.94%,,-93,192.8,,-76.5,$110-$150
Dallas-Ft. Worth,499.4,,123.6,20.4 / 4.1%,,-280,110.6,,84.7,$125-$165
Silicon Valley,410.7,,41.1,25.9 / 6.3%,,500,13.8,,-42.4,$155-$250
Chicago,367.5,,61.5,20.3 / 5.5%,,-200,26.0,,16.3,$115-$125
Phoenix,360.0,,35.5,19.2 / 5.3%,,-250,43.8,,-2.5,$170-$200
Atlanta,271.0,,21.5,20.1 / 7.4%,,380,7.5,,-22.5,$110-$125
Hillsboro,248.4,,109.0,8.1 / 3.3%,,-370,77.7,,46.3,$125-$150
New York Tri-State ,177.5,,0,17.3 / 9.8%,,80,-3.4,,-19.4,$130-$140
