Market,Inventory (MW),Y-o-Y Change (MW),,Available MW/Vacancy Rate,Y-o-Y Change* (bps),,2023 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Northern Virginia,"2,499.1",,439.0,34.7 / 1.4%,,41,424.4,,-12.5,$150-$190
Dallas-Ft. Worth,565.3,,173.1,41.6 / 7.4%,,129,155.2,,110.9,$135-$170
Chicago,559.6,,217.4,11.7 / 2.1%,,-407,226.8,,178.8,$145-$155
Silicon Valley,427.7,,48.1,31.0 / 7.3%,,498,25.7,,-36.7,$155-$250
Phoenix,360.0,,35.5,14.2 / 3.9%,,-453,48.8,,4.5,$170-$200
Atlanta,310.0,,57.5,41.1 / 13.3%,,965,18.0,,-15.0,$120-$130
Hillsboro,262.4,,94.0,6.5 / 2.5%,,-96,93.3,,28.9,$125-$170
New York Tri-State ,190.0,,12.5,12.3 / 6.5%,,-135,14.1,,-4.0,$170-$180
