Market,Inventory (MW),Y-o-Y Change (MW),,Available MW/Vacancy Rate,Y-o-Y Change* (bps),,2023 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Central Washington,186.4,,10.0,0.4 / 0.2%,,-619,20.9,,-14.1,$135-$175
"Austin/
San Antonio",162.2,,7.5,2.8 / 1.8%,,43,6.7,,0.7,$140-$175
"Southern
  California",160.5,,14.8,34.6 / 21.6%,,330,6.8,,-7.4,$135-$160 
Seattle,138.9,,3.3,10.0 / 7.2%,,-556,10.6,,7.0,$135-$175
Houston,134.1,,2.2,26.5 / 19.7%,,"-1,359",19.2,,26.4,$140-$175
Denver,92.9,,9.6,17.2 / 18.5%,,-33,8.2,,7.4,$135-$145
Minneapolis,59.6,,1.0,14.7 / 24.7%,,674,-3.2,,-4.4,$120-$175
"Charlotte/
Raleigh",52.1,,0.0,13.6 / 26.0%,,231,-1.2,,4.5,$115-$130
