Market,Inventory (MW),Y-o-Y Change (MW),,Available MW/Vacancy Rate,Y-o-Y Change* (bps),,2024 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Northern Virginia ,"2,930.1",,431.0,14.0 / 0.48%,,-46,451.7,,27.3,$175-$225
Atlanta,"1,000.4",,690.4,25.7 / 2.6%,,-150,705.8,,687.8,$160-$180
Chicago,640.9,,81.3,20.6 / 3.2%,,-230,72.4,,-154.4,$175-$200
Phoenix,602.8,,242.8,11.5 / 1.9%,,-340,245.5,,196.7,$170-$210
Dallas-Ft. Worth,591.0,,25.7,20.5 / 3.5%,,-273,46.8,,-108.4,$140-$175
Hillsboro,499.0,,236.6,1.0 / 0.20%,,-310,242.1,,148.8,$150-$200
Silicon Valley,468.4,,40.7,25.6 / 5.5%,,-174,45.2,,19.5,$155-$250
New York Tri-State ,190.0,,0.0,12.2 / 6.4%,, -338,0.0,,-14.1,$180-$200
