Market,Inventory (MW),Y-o-Y Change (MW),,Available MW/Vacancy Rate,Y-o-Y Change* (bps),,H1 2024 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Northern Virginia,"2,611.1",,357,38.6 / 1.5%,,56,108.1,,-84.7,$165-$205
Dallas-Ft. Worth,591.0,,91.6,26.0 / 4.4%,,30,41.3,,-69.3,$135-$170
Chicago,589.6,,222.1,11.2 / 1.9%,,-360,30.5,,4.5,$165-$175
Phoenix,510.8,,150.8,16.9 / 3.3%,,-200,148.1,,104.3,$170-$210
Silicon Valley,459.2,,48.5,29.2 / 6.4%,,-20,33.3,,19.5,$155-$250
Hillsboro,427.4,,179.0,0.3 / 0.07%,,-260,171.2,,93.5,$140-$180
Atlanta,310.0,,39.0,27.3 / 8.8%,,140,13.8,,6.3,$155-$160
New York Tri-State ,190.0,,12.5,12.3 / 6.5%,,-330,0.0,,-3.4,$170-$180
