Market,Inventory (MW),Y-o-Y Change (MW),,Available MW/Vacancy Rate,Y-o-Y Change* (bps),,H1 2024 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Austin/San Antonio,189.7,,27.5,3.4 / 1.8%,,10,26.9,,20.2,$140-$175
Central Washington,186.4,,10.0,0.4 / 0.2%,,-280,0.0,,-5.9,$135-$175
Houston,179.0,,44.9,25.0 / 14.0%,,"-1,000",46.4,,32.9,$140-$175
Southern California,164.3,,15.4,24.6 / 15.0%,,-290,13.8,,10.6,$180-$190
Seattle,145.8,,7.9,9.8 / 6.7%,,-340,7.1,,1.4,$135-$175
Denver,92.9,,4.3,15.7 / 16.9%,,-50,1.5,,-3.8,$135-$145
Minneapolis,59.6,,0.0,13.7 / 23.0%,,-170,1.0,,4.2,$140-$175
Charlotte/Raleigh,55.7,,3.6,11.8 / 21.2%,,-40,5.4,,4.2,$155-$160
