Market,Inventory (MW),Y-o-Y Change (MW),,Available MW,Vacancy Rate,Y-o-Y Change* (bps),,2025 Net Absorption (MW),Y-o-Y Change (MW),,Rental Rates (kW/mo)**
Central Washington,402.0,,155.6,11.7,2.9%,,274,147.9,,87.9,$150-$175
Austin-San Antonio,216.1,,25.0,3.5,1.6%,,-88,26.3,,-0.6,$160-$190
Southern California,200.3,,24.2,25.4,12.7%,,-292,26.3,,3.6,$175-$250
Seattle,155.8,,5.8,9.2,5.9%,,-79,6.6,,-4.5,$150-$180
Houston,154.0,,0.0,18.4,11.9%,,-275,-17.0,,-62.0,$150-$185
Denver,130.1,,21.0,18.0,13.8%,,-486,23.4,,10.4,$155-$165
Minneapolis,65.1,,2.5,14.7,22.6%,,-212,2.5,,-0.5,$130-$190
Charlotte-Raleigh,58.2,,-0.7,7.8,13.4%,,-120,0.1,,-11.7,$160-$170
