market,period,metric,value,edition,source_file
Southern California,H1 2025,inventory_mw,200.3,H1 2025,data/raw/market_reports/2026-09-21/cbre_h1_2025_overview_infogram/fig2_Fig_2_a5fd8e5b-4f1d-4f2f-b3fe-7bae19e12b42_table1.csv
Southern California,H1 2025,inventory_yoy_change_mw,36.0,H1 2025,data/raw/market_reports/2026-09-21/cbre_h1_2025_overview_infogram/fig2_Fig_2_a5fd8e5b-4f1d-4f2f-b3fe-7bae19e12b42_table1.csv
Southern California,H1 2025,net_absorption_mw,27.2,H1 2025,data/raw/market_reports/2026-09-21/cbre_h1_2025_overview_infogram/fig2_Fig_2_a5fd8e5b-4f1d-4f2f-b3fe-7bae19e12b42_table1.csv
Southern California,H1 2025,net_absorption_yoy_change_mw,13.4,H1 2025,data/raw/market_reports/2026-09-21/cbre_h1_2025_overview_infogram/fig2_Fig_2_a5fd8e5b-4f1d-4f2f-b3fe-7bae19e12b42_table1.csv
Southern California,H1 2025,rental_rate_kw_month,$180-$250,H1 2025,data/raw/market_reports/2026-09-21/cbre_h1_2025_overview_infogram/fig2_Fig_2_a5fd8e5b-4f1d-4f2f-b3fe-7bae19e12b42_table1.csv
Southern California,H1 2025,vacancy_pct,12.2,H1 2025,data/raw/market_reports/2026-09-21/cbre_h1_2025_overview_infogram/fig2_Fig_2_a5fd8e5b-4f1d-4f2f-b3fe-7bae19e12b42_table1.csv
Southern California,H1 2025,vacancy_yoy_change_bps,-277.0,H1 2025,data/raw/market_reports/2026-09-21/cbre_h1_2025_overview_infogram/fig2_Fig_2_a5fd8e5b-4f1d-4f2f-b3fe-7bae19e12b42_table1.csv
Southern California,H2 2025,available_mw,25.4,H2 2025,data/raw/market_reports/2026-09-21/cbre_h2_2025_overview_infogram/fig2_Fig_2_84bd77f5-8a8d-4921-b001-056ece8e451d_table1.csv
Southern California,H2 2025,inventory_mw,200.3,H2 2025,data/raw/market_reports/2026-09-21/cbre_h2_2025_overview_infogram/fig2_Fig_2_84bd77f5-8a8d-4921-b001-056ece8e451d_table1.csv
Southern California,H2 2025,inventory_yoy_change_mw,24.2,H2 2025,data/raw/market_reports/2026-09-21/cbre_h2_2025_overview_infogram/fig2_Fig_2_84bd77f5-8a8d-4921-b001-056ece8e451d_table1.csv
Southern California,H2 2025,net_absorption_mw,26.3,H2 2025,data/raw/market_reports/2026-09-21/cbre_h2_2025_overview_infogram/fig2_Fig_2_84bd77f5-8a8d-4921-b001-056ece8e451d_table1.csv
Southern California,H2 2025,net_absorption_yoy_change_mw,3.6,H2 2025,data/raw/market_reports/2026-09-21/cbre_h2_2025_overview_infogram/fig2_Fig_2_84bd77f5-8a8d-4921-b001-056ece8e451d_table1.csv
